name,birthday,deathday,wp_views,sp_followers,sp_popularity,genres,wp_url,wd_url,sp_url,birthdate,deathdate,birthyear,deathyear,sp_id,sp_img_url
Maurice Jacobson,January 01,February 02,5221,6,1,[],http://en.wikipedia.org/wiki/Maurice_Jacobson,https://www.wikidata.org/wiki/Q17505486,https://open.spotify.com/artist/4hnq5pJz8PxEeE1nqb7mRX,"Jan 01, 1896","Feb 02, 1976",1896,1976,4hnq5pJz8PxEeE1nqb7mRX,https://i.scdn.co/image/ab67616d0000b273f2052ec5a9da1c1e82ec88bd
Bernadette Speach,January 01,,7346,14,0,[],https://en.wikipedia.org/wiki/Bernadette_Speach,https://www.wikidata.org/wiki/Q4892818,https://open.spotify.com/artist/5Mre9raO7vPPQy7V5U5WaI,"Jan 01, 1948",,1948,,5Mre9raO7vPPQy7V5U5WaI,https://i.scdn.co/image/ab67616d0000b273900b0d3608f1752dbe613c96
Felipe Boero,January 01,August 09,7956,21,0,['latin classical'],http://en.wikipedia.org/wiki/Felipe_Boero,https://www.wikidata.org/wiki/Q1403183,https://open.spotify.com/artist/4tt1ZofVYgbwge6HnnF3GA,"May 01, 1884","Aug 09, 1958",1884,1958,4tt1ZofVYgbwge6HnnF3GA,
Giovanni Furno,January 01,June 20,3205,0,0,,http://it.wikipedia.org/wiki/Giovanni_Furno,https://www.wikidata.org/wiki/Q555808,,"Jan 01, 1748","Jun 20, 1837",1748,1837,,
János (Hans von) Koessler,January 01,May 23,13751,0,0,,http://en.wikipedia.org/wiki/Hans_von_Koessler,https://www.wikidata.org/wiki/Q371740,,"Jan 01, 1853","May 23, 1926",1853,1926,,
Matilde Capuis,January 01,January 31,11437,6,0,[],http://en.wikipedia.org/wiki/Matilde_Capuis,https://www.wikidata.org/wiki/Q6787535,https://open.spotify.com/artist/6oM84wVUE9v7Wabg3HSGTn,"Jan 01, 1913","Jan 31, 2017",1913,2017,6oM84wVUE9v7Wabg3HSGTn,
Micah Hawkins,January 01,July 29,4458,0,0,,https://en.wikipedia.org/wiki/Micah_Hawkins,https://www.wikidata.org/wiki/Q15503098,,"Jan 01, 1777","Jul 29, 1825",1777,1825,,
Miklós Radnai,January 01,November 04,3458,0,0,,https://en.wikipedia.org/wiki/Mikl%C3%B3s_Radnai,https://www.wikidata.org/wiki/Q1933740,,"Jan 01, 1892","Nov 04, 1935",1892,1935,,
Nikolai Lodyzhensky,January 01,February 15,5034,2,0,[],http://en.wikipedia.org/wiki/Nikolai_Lodyzhensky,https://www.wikidata.org/wiki/Q7035857,https://open.spotify.com/artist/79vlrJZa721DJuN62Bj0Jf,"Jan 01, 1843","Feb 15, 1916",1843,1916,79vlrJZa721DJuN62Bj0Jf,
Tadeusz Jarecki,January 01,May 02,2095,0,0,,https://pl.wikipedia.org/wiki/Tadeusz_Jarecki,https://www.wikidata.org/wiki/Q9354347,,"Jan 01, 1889","May 02, 1955",1889,1955,,
Veniamin Basner,January 01,September 03,11370,34,0,[],http://en.wikipedia.org/wiki/Veniamin_Basner,https://www.wikidata.org/wiki/Q652990,https://open.spotify.com/artist/7tYFxTrkZkAnBtzK6wXWrH,"Jan 01, 1925","Sep 03, 1996",1925,1996,7tYFxTrkZkAnBtzK6wXWrH,https://i.scdn.co/image/ab67616d0000b273704f487b56ff7d60935979fa
Willem Strietman,January 01,February 01,1746,1,0,[],https://nl.wikipedia.org/wiki/Willem_Strietman,https://www.wikidata.org/wiki/Q2653796,https://open.spotify.com/artist/1EFrdVaTyPQcq8Jk3RUytM,"Jan 01, 1918","Feb 01, 2001",1918,2001,1EFrdVaTyPQcq8Jk3RUytM,
William Beale,January 01,May 03,6236,50,0,[],http://en.wikipedia.org/wiki/William_Beale,https://www.wikidata.org/wiki/Q8005248,https://open.spotify.com/artist/106J4eywcj6cfoVHftu3N1,"Jan 01, 1784","May 03, 1854",1784,1854,106J4eywcj6cfoVHftu3N1,https://i.scdn.co/image/a52f6a95661b3448c8f34114f3a82a4f6010d269
Eric Whitacre,January 02,,374604,77957,55,"['21st century classical', 'american 21st century classical', 'choral', 'contemporary choir']",http://en.wikipedia.org/wiki/Eric_Whitacre,https://www.wikidata.org/wiki/Q726206,https://open.spotify.com/artist/5TWpCLIhvGlbJmLK1zNpiL,"Jan 02, 1970",,1970,,5TWpCLIhvGlbJmLK1zNpiL,https://i.scdn.co/image/e0414c619fc683c7318682a4dd36412d535f159f
Christopher Lennertz,January 02,,156045,6600,44,"['epicore', 'scorecore', 'soundtrack', 'video game music']",http://en.wikipedia.org/wiki/Christopher_Lennertz,https://www.wikidata.org/wiki/Q938849,https://open.spotify.com/artist/2TQwXfupr6fAEV5AgNqIO5,"Jan 02, 1972",,1972,,2TQwXfupr6fAEV5AgNqIO5,https://i.scdn.co/image/4c61ffaa23c5c24ba7b4503f7722ddccd5abd658
Mily Balakirev,January 02,May 29,213165,5143,40,"['post-romantic era', 'russian romanticism']",http://en.wikipedia.org/wiki/Mily_Balakirev,https://www.wikidata.org/wiki/Q185040,https://open.spotify.com/artist/2V5Fnwup32wFPAtMi2vmXq,"Jan 02, 1837","May 29, 1910",1837,1910,2V5Fnwup32wFPAtMi2vmXq,https://i.scdn.co/image/035ae4fd84609df766092237a14fcea4b5eb34bf
Michael Tippett,January 02,January 08,181014,2101,25,"['contemporary classical', 'early modern classical', 'neoclassicism']",http://en.wikipedia.org/wiki/Michael_Tippett,https://www.wikidata.org/wiki/Q356499,https://open.spotify.com/artist/0hW5OU8cM6ANp2gTi5WR2P,"Jan 02, 1905","Jan 08, 1998",1905,1998,0hW5OU8cM6ANp2gTi5WR2P,https://i.scdn.co/image/dba6cdec76747216b538f17cf8afb634cf78af29
Keith Forsey,January 02,,140721,512,27,[],http://en.wikipedia.org/wiki/Keith_Forsey,https://www.wikidata.org/wiki/Q1315512,https://open.spotify.com/artist/4lFhWIrUNwiVLf43RmcFER,"Jan 02, 1948",,1948,,4lFhWIrUNwiVLf43RmcFER,
Péter Eötvös,January 02,,50715,1473,21,"['21st century classical', 'avant-garde', 'contemporary classical', 'hungarian contemporary classical', 'microtonal']",http://en.wikipedia.org/wiki/P%C3%A9ter_E%C3%B6tv%C3%B6s,https://www.wikidata.org/wiki/Q389851,https://open.spotify.com/artist/3pYJ8R30XjH8PutGI42wtL,"Jan 02, 1944",,1944,,3pYJ8R30XjH8PutGI42wtL,https://i.scdn.co/image/21d60c2d3412c2093b6927434b4a69f77dc1d4a5
František Brixi,January 02,October 14,16096,203,6,['bohemian baroque'],http://en.wikipedia.org/wiki/Franti%C5%A1ek_Brixi,https://www.wikidata.org/wiki/Q712616,https://open.spotify.com/artist/3GUEJkdYcofiYyUq1a4u4h,"Jan 02, 1732","Oct 14, 1771",1732,1771,3GUEJkdYcofiYyUq1a4u4h,https://i.scdn.co/image/ab67616d0000b273507588effab3361b5854f218
Iván Erod,January 02,June 24,61411,38,6,['hungarian contemporary classical'],http://en.wikipedia.org/wiki/Iv%C3%A1n_Er%C5%91d,https://www.wikidata.org/wiki/Q1121393,https://open.spotify.com/artist/3CfZUdmsf71za5y97kQEX4,"Jan 02, 1936","Jun 24, 2019",1936,2019,3CfZUdmsf71za5y97kQEX4,https://i.scdn.co/image/ab67616d0000b27306f2873664b9dede18023c11
John Burge,January 02,,12752,19,2,[],http://en.wikipedia.org/wiki/John_Burge,https://www.wikidata.org/wiki/Q6223885,https://open.spotify.com/artist/4JMPQBQu6a1hk4ZqKVNFsI,"Jan 02, 1961",,1961,,4JMPQBQu6a1hk4ZqKVNFsI,https://i.scdn.co/image/94bfc28e05946e08f5dcc9201d370115eb5d2dc9
Barbara Pentland,January 02,February 05,8881,29,1,['canadian classical'],https://en.wikipedia.org/wiki/Barbara_Pentland,https://www.wikidata.org/wiki/Q435339,https://open.spotify.com/artist/5g3uaWs8smWB6M9vUSWVDN,"Jan 02, 1912","Feb 05, 2000",1912,2000,5g3uaWs8smWB6M9vUSWVDN,https://i.scdn.co/image/ab67616d0000b27387efb76516ed8b3c8851693c
Jakob Pazeller,January 02,September 24,4890,6,5,[],http://de.wikipedia.org/wiki/Jakob_Pazeller,https://www.wikidata.org/wiki/Q1231719,https://open.spotify.com/artist/5XlzO56Uev4YL1KP7iJJVV,"Jan 02, 1869","Sep 24, 1957",1869,1957,5XlzO56Uev4YL1KP7iJJVV,https://i.scdn.co/image/ab67616d0000b273d07f09ed2a1b6644fa97efdd
Joaquin Valverde Sanjuán,January 02,November 04,10747,1,7,[],http://en.wikipedia.org/wiki/Joaqu%C3%ADn_Valverde_Sanju%C3%A1n,https://www.wikidata.org/wiki/Q6206552,https://open.spotify.com/artist/37w4IIUtNouUdIhViIfOVl,"Jan 02, 1875","Nov 04, 1918",1875,1918,37w4IIUtNouUdIhViIfOVl,
Donat Müller,January 02,May 10,2632,0,0,[],http://de.wikipedia.org/wiki/Donat_M%C3%BCller_%28Komponist%29,https://www.wikidata.org/wiki/Q15453670,https://open.spotify.com/artist/78Njd52uaf7xgYeJEt1H9D,"Jan 02, 1804","May 10, 1879",1804,1879,78Njd52uaf7xgYeJEt1H9D,
Ernst-Lothar von Knorr,January 02,October 30,8369,10,0,[],http://de.wikipedia.org/wiki/Ernst-Lothar_von_Knorr,https://www.wikidata.org/wiki/Q1357118,https://open.spotify.com/artist/3P66VEGUwKHR3MgfEJX5Ta,"Jan 02, 1896","Oct 30, 1973",1896,1973,3P66VEGUwKHR3MgfEJX5Ta,https://i.scdn.co/image/ab67616d0000b27396b6c411add054e66a4dbccb
Gardner Read,January 02,November 10,15740,15,0,['american modern classical'],http://en.wikipedia.org/wiki/Gardner_Read,https://www.wikidata.org/wiki/Q462151,https://open.spotify.com/artist/4ztDU7F543KDIlUiTa23A4,"Jan 02, 1913","Nov 10, 2005",1913,2005,4ztDU7F543KDIlUiTa23A4,https://i.scdn.co/image/ab67616d0000b273405df1ef54a269d1a9dfceae
Heinrich Schalit,January 02,,117905,5,0,[],http://en.wikipedia.org/wiki/R._Murray_Schafer,https://www.wikidata.org/wiki/Q1386495,https://open.spotify.com/artist/1Tb2Vlr6fdC1weuda6Xl4p,"Jul 18, 1933",,1886,,1Tb2Vlr6fdC1weuda6Xl4p,
Jean-Baptiste Anet,January 02,August 14,3482,3,0,[],http://de.wikipedia.org/wiki/Jean-Baptiste_Anet,https://www.wikidata.org/wiki/Q1684607,https://open.spotify.com/artist/30bULnK9gARD8ZZMmB8p9f,"Jan 01, 1676","Aug 14, 1755",1676,1755,30bULnK9gARD8ZZMmB8p9f,https://i.scdn.co/image/ab67616d0000b273f40cb85a46c8bebb04f410cc
John Link,January 02,,7927,19,0,[],https://en.wikipedia.org/wiki/John_Link,https://www.wikidata.org/wiki/Q15821532,https://open.spotify.com/artist/29sxoiv3wwq1ApxbywrAkA,,,1954,,29sxoiv3wwq1ApxbywrAkA,https://i.scdn.co/image/ab67616d0000b273784a804d7d4dbcf5ef5a70c5
Josef Schreier,January 02,,4712,3,0,[],http://cs.wikipedia.org/wiki/Josef_Schreier,https://www.wikidata.org/wiki/Q12026587,https://open.spotify.com/artist/35VbMdI3XePZ6W0SefknnK,"Jan 02, 1718",,1718,,35VbMdI3XePZ6W0SefknnK,
Nico Schuyt,January 02,January 25,1926,3,0,[],http://nl.wikipedia.org/wiki/Nico_Schuyt,https://www.wikidata.org/wiki/Q2524637,https://open.spotify.com/artist/031jnJP1CssN2HV1AZNH1I,"Jan 02, 1922","Jan 25, 1992",1922,1992,031jnJP1CssN2HV1AZNH1I,
Robert Elmore,January 02,September 22,4995,2,0,[],http://en.wikipedia.org/wiki/Robert_Elmore,https://www.wikidata.org/wiki/Q16011218,https://open.spotify.com/artist/6BOD8EK8aUdExu2VvpekHT,"Jan 02, 1913","Sep 22, 1985",1913,1985,6BOD8EK8aUdExu2VvpekHT,
Sándor Erkel,January 02,October 14,6528,1,0,[],http://hu.wikipedia.org/wiki/Erkel_S%C3%A1ndor,https://www.wikidata.org/wiki/Q990819,https://open.spotify.com/artist/3zkqoepnuXQzrvA5fg3SA6,"Jan 02, 1846","Oct 14, 1900",1846,1900,3zkqoepnuXQzrvA5fg3SA6,
Terje Bjørklund,January 02,,7145,25,0,['norwegian jazz'],http://en.wikipedia.org/wiki/Terje_Bj%C3%B8rklund,https://www.wikidata.org/wiki/Q7702461,https://open.spotify.com/artist/6Isy2QxuK7pkDJNxxFHCUR,"Jan 02, 1945",,1945,,6Isy2QxuK7pkDJNxxFHCUR,https://i.scdn.co/image/ab67616d0000b273d287b947ce7080b48ea5faf2
Tiberiu Olah,January 02,October 02,7668,20,0,['romanian contemporary classical'],http://en.wikipedia.org/wiki/Tiberiu_Olah,https://www.wikidata.org/wiki/Q1224484,https://open.spotify.com/artist/2IY1cDj2yjF2ZP5azhzMEc,"Jan 02, 1928","Oct 02, 2002",1928,2002,2IY1cDj2yjF2ZP5azhzMEc,
Vasily Lobanov,January 02,,10327,15,0,[],http://en.wikipedia.org/wiki/Vasily_Lobanov,https://www.wikidata.org/wiki/Q871278,https://open.spotify.com/artist/5gK5yjJ6Cheq3CMepf8Q2O,"Jan 02, 1947",,1947,,5gK5yjJ6Cheq3CMepf8Q2O,
Volker Blumenthaler,January 02,,3593,1,0,[],https://de.wikipedia.org/wiki/Volker_Blumenthaler,https://www.wikidata.org/wiki/Q2530905,https://open.spotify.com/artist/6vDBQCJKXcINkUFb8rNCcO,"Jan 02, 1951",,1951,,6vDBQCJKXcINkUFb8rNCcO,https://i.scdn.co/image/ab67616d0000b273159359eea612eecf02f213f2
Martin Galway,January 03,,33942,1172,12,['c64'],http://en.wikipedia.org/wiki/Martin_Galway,https://www.wikidata.org/wiki/Q1281963,https://open.spotify.com/artist/0BteZwPphWlrKXoyWyQmaU,"Jan 03, 1966",,1966,,0BteZwPphWlrKXoyWyQmaU,
Kevin Puts,January 03,,30754,470,8,"['21st century classical', 'american 21st century classical']",http://en.wikipedia.org/wiki/Kevin_Puts,https://www.wikidata.org/wiki/Q6397282,https://open.spotify.com/artist/7pDJO8SaJGGhj8SxILieci,"Jan 03, 1972",,1972,,7pDJO8SaJGGhj8SxILieci,https://i.scdn.co/image/ab67616d0000b273e5d40aaec1bb04efc84676b1
Maurice Jaubert,January 03,June 19,20919,178,5,['french soundtrack'],http://en.wikipedia.org/wiki/Maurice_Jaubert,https://www.wikidata.org/wiki/Q1138157,https://open.spotify.com/artist/4e0rPkkLDkX1DtXml9teNU,"Jan 03, 1900","Jun 19, 1940",1900,1940,4e0rPkkLDkX1DtXml9teNU,https://i.scdn.co/image/ab67616d0000b2733826bdddf247f6e9923279d4
Jacques-Nicolas Lemmens,January 03,January 30,21893,65,8,[],http://en.wikipedia.org/wiki/Jacques-Nicolas_Lemmens,https://www.wikidata.org/wiki/Q712718,https://open.spotify.com/artist/58yY1zykCgxRwjdS0cajRX,"Jan 03, 1823","Jan 30, 1881",1823,1881,58yY1zykCgxRwjdS0cajRX,
Beth Anderson,January 03,,14021,305,2,"['minimalism', 'post-minimalism']",http://en.wikipedia.org/wiki/Beth_Anderson_(composer),https://www.wikidata.org/wiki/Q831106,https://open.spotify.com/artist/4jPngiKa47PtzRfpVdD4Uq,"Jan 03, 1950",,1950,,4jPngiKa47PtzRfpVdD4Uq,https://i.scdn.co/image/ab67616d0000b273bc2b79fa0e2b41362da15690
John Woolrich,January 03,,50051,59,2,['british contemporary classical'],http://en.wikipedia.org/wiki/John_Woolrich,https://www.wikidata.org/wiki/Q3333082,https://open.spotify.com/artist/3oOMeiwNSuKrZcfv7HNpTb,"Jan 01, 1954",,1954,,3oOMeiwNSuKrZcfv7HNpTb,https://i.scdn.co/image/ab67616d0000b27319ebec003a0c19146868b6c7
Olivier Greif,January 03,May 13,8496,134,3,['early avant garde'],http://en.wikipedia.org/wiki/Olivier_Greif,https://www.wikidata.org/wiki/Q2630149,https://open.spotify.com/artist/2FzGbrSTcZLVc9kwPOwKCo,"Jan 13, 1950","May 13, 2000",1950,2000,2FzGbrSTcZLVc9kwPOwKCo,https://i.scdn.co/image/ab67616d0000b2737bc6372a6c64e292d8e20418
Karl Collan,January 03,September 12,14747,27,7,['finnish classical'],http://fi.wikipedia.org/wiki/Karl_Collan,https://www.wikidata.org/wiki/Q1730669,https://open.spotify.com/artist/1xUfYbC5Wf7gieUsNSfnVi,"Jan 03, 1828","Sep 12, 1871",1828,1871,1xUfYbC5Wf7gieUsNSfnVi,https://i.scdn.co/image/ab67616d0000b273142c115c271ac756e4ed6d9a
Ernst Mahle,January 03,,9442,110,1,"['brazilian classical', 'brazilian contemporary classical', 'latin classical']",http://en.wikipedia.org/wiki/Ernst_Mahle,https://www.wikidata.org/wiki/Q324002,https://open.spotify.com/artist/1F3rMi8HIzshKqf2FxVE5Y,"Jan 03, 1929",,1929,,1F3rMi8HIzshKqf2FxVE5Y,
Friedrich Schneider,January 03,November 23,17285,15,1,['german romanticism'],https://en.wikipedia.org/wiki/Friedrich_Schneider,https://www.wikidata.org/wiki/Q213906,https://open.spotify.com/artist/6SeRAvVh0Dw8qlZNzinMwM,"Jan 05, 1786","Nov 23, 1853",1786,1853,6SeRAvVh0Dw8qlZNzinMwM,https://i.scdn.co/image/ab67616d0000b273befc31106b320e0137aa0ec6
Miklos Skuta,January 03,,5173,7,4,[],http://en.wikipedia.org/wiki/Mikul%C3%A1%C5%A1_%C5%A0kuta,https://www.wikidata.org/wiki/Q6850267,https://open.spotify.com/artist/5SIfDU9APd4WQJJYK7Dxrc,"Jan 03, 1960",,1960,,5SIfDU9APd4WQJJYK7Dxrc,https://i.scdn.co/image/ab67616d0000b2732fa6c68bf4d6e21eb4a566f7
Eef van Breen,January 03,,5898,19,1,[],http://en.wikipedia.org/wiki/Eef_van_Breen,https://www.wikidata.org/wiki/Q1903602,https://open.spotify.com/artist/0k1U2Sk7Z8Z9yj6Ie26YWu,"Jan 03, 1978",,1978,,0k1U2Sk7Z8Z9yj6Ie26YWu,
Borys Lyatoshynsky,January 03,April 15,19672,0,0,,http://en.wikipedia.org/wiki/Boris_Lyatoshinsky,https://www.wikidata.org/wiki/Q504426,,"Dec 22, 1894","Apr 15, 1968",1895,1968,,
Heinz Karl Gruber,January 03,,29401,0,0,[],https://en.wikipedia.org/wiki/Heinz_Karl_Gruber,https://www.wikidata.org/wiki/Q598959,https://open.spotify.com/artist/4mqZhZyCAVJdVfx0HH9oJh,"Jan 03, 1943",,1943,,4mqZhZyCAVJdVfx0HH9oJh,
Henry Eichheim,January 03,August 22,7325,2,0,['american modern classical'],https://en.wikipedia.org/wiki/Henry_Eichheim,https://www.wikidata.org/wiki/Q5720779,https://open.spotify.com/artist/4YeNg8GPdNFF32F7XAq8hu,"Jan 03, 1870","Aug 22, 1942",1870,1942,4YeNg8GPdNFF32F7XAq8hu,
Ian Vine,January 03,,6362,26,0,['21st century classical'],http://en.wikipedia.org/wiki/Ian_Vine,https://www.wikidata.org/wiki/Q5983156,https://open.spotify.com/artist/3B0yRSAFUkMaIzqiJlUIK4,"Jan 03, 1974",,1974,,3B0yRSAFUkMaIzqiJlUIK4,https://i.scdn.co/image/052e065707f283aac9b2632b7ac5893711521282
Jean Louël,January 03,October 04,2112,1,0,[],https://nl.wikipedia.org/wiki/Jean_Lou%C3%ABl,https://www.wikidata.org/wiki/Q2101175,https://open.spotify.com/artist/67D1kaOlefVdJ931ezlGo2,"Jan 03, 1914","Oct 04, 2005",1914,2005,67D1kaOlefVdJ931ezlGo2,
Jos Kunst,January 03,January 18,2306,28,0,['dutch contemporary classical'],https://nl.wikipedia.org/wiki/Jos_Kunst,https://www.wikidata.org/wiki/Q1995714,https://open.spotify.com/artist/5D9ZquyludgOnoZrrnAKVY,"Jan 03, 1936","Jan 18, 1996",1936,1996,5D9ZquyludgOnoZrrnAKVY,https://i.scdn.co/image/ab67616d0000b2738167f6babd5f7b86812f48f7
Julius Lenzberg,January 03,April 24,1175,8,0,[],http://fr.wikipedia.org/wiki/Julius_Lenzberg,https://www.wikidata.org/wiki/Q3189861,https://open.spotify.com/artist/73EU2nPeYoxkINYc6JuDku,"Jan 03, 1878","Apr 24, 1956",1878,1956,73EU2nPeYoxkINYc6JuDku,https://i.scdn.co/image/623e2772bbdb5694c1fcae7a19c6e0d726c30fc9
Mikhail Gnesin,January 03,,4871,10,0,[],http://en.wikipedia.org/wiki/Mikhail_Gnesin,,https://open.spotify.com/artist/4iyAiCFkigv34Qi0gptKWj,,,1883,,4iyAiCFkigv34Qi0gptKWj,
Raoul von Koczalski,January 03,,694,0,0,,http://en.wikipedia.org/wiki/Raoul_von_Koczalski,,,,,1884,,,
Richard Franck,January 03,January 22,10098,25,0,['german romanticism'],http://en.wikipedia.org/wiki/Richard_Franck,https://www.wikidata.org/wiki/Q683134,https://open.spotify.com/artist/0hhSYdAPlC5omCFXfaXPC2,"Jan 03, 1858","Jan 22, 1938",1858,1938,0hhSYdAPlC5omCFXfaXPC2,https://i.scdn.co/image/ab67616d0000b27348fe5378a840cc4025e33425
Ülo Vinter,January 03,July 02,13918,0,0,[],http://et.wikipedia.org/wiki/%C3%9Clo_Vinter,https://www.wikidata.org/wiki/Q12379645,https://open.spotify.com/artist/0S6eFRTOjMF8jCTFCXi6SI,"Jan 03, 1924","Jul 02, 2000",1924,2000,0S6eFRTOjMF8jCTFCXi6SI,
